user_id,Review 1,Review 2,Review 3
#NAME?,,"Family and I came here last night and waited for around 40 minutes for a table of four. When we finally got it, we were placed at a really cramped table with chairs poking the nearby table's occupants. That aside, I can see why this place is an institution!   The cheesy, chargrilled oysters were delicious and worth the wait.

Can't say the same for the soft-shell crab platter as the crab was coated in an extremely salty batter. Nor the Oyster Rockefeller soup which nearly gave me hypertension with the amount of sodium in there. Noticed that the salty batter was used in other dishes as well. 

Our waitress was brisk but her presence was fleeting and it took me a good 10 minutes to spot her for add-ons. She was attentive in refilling our water though.

Come here for the oysters and sweet potato fries if you can stand the wait but skip the fried dishes, lest you truly love salt.",
#NAME?,I had to try the Nashville Hot Chicken from the source while visiting. It is everything I could have expected and more. The chicken was fresh and juicy and the Mac-n-cheese was surprisingly delicious. I highly recommend if you are willing to wait a half hour in line!,,
#NAME?,,,Came here while on vacation. Highly disappointed.  The fish was bland; no seasoning at all and the red beans and rice taste like Popeye's.
#NAME?,"I used to always say my favorite food was sushi. Now I say its hot chicken!!!! Going there for dinner tonight!

Food is quick, always hot when it comes out, and tastes AMAZING. And I don't get sick after eating it like I do some other hot chicken places.",,
-03y31IzykunU9azzgLsoQ,"Nashville loves their hot chicken and this place was a hit with my taste buds.

We were a large group and managed to find seating on a Friday night with an extensive line - I mean this is mostly a take-out spot or grab n' go, so even with limited seats, you should be able to manage.

I believe we waited about an hour in line and the line moved at a good pace and was definitely around the block.  

I ordered the medium chicken sandwich, and I love spicy food!  I just did not want to get an upset stomach at my own bach party (was not feeling the pain).  And believe me, my sandwich was SPICY and I can handle spicy food.  It was the right level of spice for me, any more and I would need to drink copious amounts of water.

I recommend checking this place out if you're in Nashville.",,
-0V5DVnId4nZn5pkiaILzw,,"I know a place that tastes better that didn't have an long wait. This place is crowded for a Sunday night.

Fried shrimp and alligator was good. 
 
Gumbo was very mediocre.",
-0aZWYi2YicFaLxTru96nA,,"This place always has a long line outside the door, no matter what time of the day it is. A group of 7 of us stopped by around 8pm on a Saturday night for dinner and waited about 40 minutes. When we were finally seated, things started going downhill. Our server was sloppy and forgetful, bringing out 2-3 glasses of water at a time, disappearing and forgetting to bring the rest of the water, and then forgetting to bring straws. We ordered 2 dozen chargrilled oysters for the table as appetizers, and our food came out before the appetizers because he forgot to put in the order and it takes 20 minutes to make. Then out came 1 dozen and we were still really waiting for 1.5 dozen, since someone ordered a half dozen for their meal. I ordered the fried 1/2 shrimp 1/2 fish platter, which was forgettable - I didn't even bother eating the fries and the hush puppies were dry. 

Per Yelp recommendations, we also ordered Boo fries since every review raved about them..... it was nothing special, so I would not order them. 

SUMMARY: The food is NOT worth the wait and NOT worth the hype. They also included gratuity in the bill for us since we were 6+ people, which must be why our server was terrible at his job since there is no incentive to get anything right.",
-0b84SUGVN0YkG5j2MCmBw,"As described....great fried. chicken in several heat levels. You choose what you want, pay, get your drink and find a seat. They bring your food in about 10 minutes or so. I choose the hot heat level along with Mac n cheese and the black-eyed pea salad. Everything was good. You won't be disappointed.",,
-0dlcohtjV4imAU4Vybddg,,"Fresh raw oysters and boiled crawfish - simply delicious! The queue may be long sometimes but it goes pretty quickly, it's worth the wait. Will definitely come back again when in town, IMO the best fresh oyster house in town!",
-1_1ndYu401hZkquoqK-4w,,"AMAZING! One of the best meals I've ever had. The chargrilled oysters, crawfish ettoufe and soft shell crab plate were to die for. Definitely coming back again whenever I'm in NOLA. Worth the wait!",
-1rQBZ4Z6fxjklzahyLISw,,"It is always a must to eat here, every time I come to NOLA. I crave their chargrilled oysters. Staff is friendly and food is always amazing.  If you love oysters, it never disappoints.",
