User ID,Node,Brand A,Brand B,Brand C
#NAME?,1,0,0.9334,0
#NAME?,2,0,0,0.843
#NAME?,3,-0.5154,0,0
#NAME?,4,0,0,0.8913
-03y31IzykunU9azzgLsoQ,5,0,0,0.8542
-0V5DVnId4nZn5pkiaILzw,6,0,0.6603,0
-0aZWYi2YicFaLxTru96nA,7,0,-0.6911,0
-0b84SUGVN0YkG5j2MCmBw,8,0,0,0.6146
-0dlcohtjV4imAU4Vybddg,9,0,0.9336,0
-1_1ndYu401hZkquoqK-4w,10,0,0.8355,0
-1rQBZ4Z6fxjklzahyLISw,11,0,0.8844,0
#NAME?,12,0,0.914,0
-22PBmQh7bBWbNX1irrkPQ,13,0,0.8955,0
-24qzhOmqf_Aze0tICNd8A,14,0.917,0,0
-32WtapJvTQrG59p6hgVyg,15,0,0.9472,0
-3HYmxW_5Gsg4I0eH3ju-Q,16,0,0,0.5174
-3WDAOZFrQkXh7kB_PcVgw,17,0,0.9318,0
-3laRXxBuubKbyzSFMswrA,18,0,0.8717,0
-3lpj5r-XWYzsk-ulYQkcA,19,0,0,0.9508
-3r0CX7niGCyUnqkKZcmSQ,20,0,0.6479,0
-41S-0Fhh40dYKRyqCzyVQ,21,0,0,0.7916
-42J4Ua39jd8qdf0nnw70w,22,0,-0.7403,0
-4JpQKfrzO85uxZDPE4vJw,23,0.9293,0,0
-4QjN6My0meqBjloBlnVOA,24,0,0.8062,0
-4RIHaYziMq84EfR5Df8Jw,25,0.9054,0,0
-4_ZG4jv3If2RnNFn293yw,26,0,0.9306,0
-594af_E7Z9VVjQc9pJK3g,27,0,0.9398,0
-5Bo_dnqZTsqf8ZRhsqakA,28,0.8375,0,0
-5O9TjkStilD3MU0fdaP2w,29,0,0,0.8586
-5Oo7-AzHc-tzdNLWIFccQ,30,0,0,0.9419
-5QISIFy-jbh8DyS8CTHOg,31,0,0,0.4566
-5ye1ya0wRQhNRF9NfQ1fA,32,0,0.7414,0
-60C6LUgqKVcaOsvDQeXyA,33,0,0.7945,0
-6CEeB-DNVlgbK659r0rjA,34,0.9541,0,0
-6Mvirp6cAHgviRZhdmfjw,35,0.9347,0,0
-6U8UW-DR7mL2HexFfNbfA,36,0.9486,0,0
-6bsEIMFz6ndaWXaakISSw,37,0,0,0.8907
-6wHx3CYNTVQY8xW9vRraA,38,0,0,0.9151
-6zIYjYga4lQ6MkT57i3nw,39,0,0.3212,0
-78RRWJBrFlldvllagVVEw,40,0,0,0.9326
